2016 National Popular Vote Tracker : Overall Vote%s,,,,,,,,,,,,,
,A,B,C,D,E,F,G,H,I,J,K,L,M
1,2016 National Popular Vote Tracker,,,,,,,,,,,,
2,"Compiled from official sources by: David Wasserman @Redistrict, Cook Political Report @CookPolitical",,,,,,,,,,,,
3,"*Denotes Official/Certified Results; ""Swing State"" defined as state that flipped from '12 or was decided by less than 5%.",,,,,,,,,,,,
4,,,,,,,,,,,,,
5,State,Clinton (D),Trump (R),Others,Clinton %,Trump %,Others %,Dem '12 Margin,Dem '16 Margin,Margin Shift,Total '12 Votes,Total '16 Votes,Raw Votes vs. '12
6,,,,,,,,,,,,,
7,U.S. Total,65853516,62984824,7801446,48.2%,46.1%,5.7%,3.9%,2.1%,-1.8%,129075630,136639786,5.9%
8,13 Swing States,21433214,22249342,2348069,46.6%,48.3%,5.1%,3.6%,-1.8%,-5.4%,43939918,46030625,4.8%
9,Non-Swing States,44420302,40735482,5453377,49.0%,45.0%,6.0%,4.0%,4.1%,0.1%,85135712,90609161,6.4%
10,,,,,,,,,,,,,
11,13 Swing States,,,,,,,,,,,,
12,Arizona*,1161167,1252401,159597,45.1%,48.7%,6.2%,-9.1%,-3.5%,5.5%,2299254,2573165,11.9%
13,Colorado*,1338870,1202484,238866,48.2%,43.3%,8.6%,5.4%,4.9%,-0.5%,2569521,2780220,8.2%
14,Florida*,4504975,4617886,297178,47.8%,49.0%,3.2%,0.9%,-1.2%,-2.1%,8474179,9420039,11.2%
15,Iowa*,653669,800983,111379,41.7%,51.1%,7.1%,5.8%,-9.4%,-15.2%,1582180,1566031,-1.0%
16,Maine*,357735,335593,54599,47.8%,44.9%,7.3%,15.3%,3.0%,-12.3%,713180,747927,4.9%
17,Michigan*,2268839,2279543,250902,47.3%,47.5%,5.2%,9.5%,-0.2%,-9.7%,4730961,4799284,1.4%
18,Minnesota*,1367716,1322951,254146,46.4%,44.9%,8.6%,7.7%,1.5%,-6.2%,2936561,2944813,0.3%
19,Nevada*,539260,512058,74067,47.9%,45.5%,6.6%,6.7%,2.4%,-4.3%,1014918,1125385,10.9%
20,New Hampshire*,348526,345790,49842,46.8%,46.5%,6.7%,5.6%,0.4%,-5.2%,710972,744158,4.7%
21,North Carolina*,2189316,2362631,189617,46.2%,49.8%,4.0%,-2.0%,-3.7%,-1.6%,4505372,4741564,5.2%
22,Ohio*,2394164,2841005,261318,43.6%,51.7%,4.8%,3.0%,-8.1%,-11.1%,5580840,5496487,-1.5%
23,Pennsylvania*,2926441,2970733,218228,47.9%,48.6%,3.6%,5.4%,-0.7%,-6.1%,5753546,6115402,6.3%
24,Wisconsin*,1382536,1405284,188330,46.5%,47.2%,6.3%,6.9%,-0.8%,-7.7%,3068434,2976150,-3.0%
25,,,,,,,,,,,,,
26,Non-Swing States,,,,,,,,,,,,
27,Alabama*,729547,1318255,75570,34.4%,62.1%,3.6%,-22.2%,-27.7%,-5.5%,2074338,2123372,2.4%
28,Alaska*,116454,163387,38767,36.6%,51.3%,12.2%,-14.0%,-14.7%,-0.7%,300495,318608,6.0%
29,Arkansas*,380494,684872,65269,33.7%,60.6%,5.8%,-23.7%,-26.9%,-3.2%,1069468,1130635,5.7%
30,California*,8753788,4483810,943997,61.7%,31.6%,6.7%,23.1%,30.1%,7.0%,13038547,14181595,8.8%
31,Connecticut*,897572,673215,74133,54.6%,40.9%,4.5%,17.3%,13.6%,-3.7%,1558114,1644920,5.6%
32,Delaware*,235603,185127,20860,53.4%,41.9%,4.7%,18.6%,11.4%,-7.2%,413890,441590,6.7%
33,District of Columbia*,282830,12723,15715,90.9%,4.1%,5.0%,83.6%,86.8%,3.1%,293764,311268,6.0%
34,Georgia*,1877963,2089104,125306,45.9%,51.0%,3.1%,-7.8%,-5.2%,2.7%,3900050,4092373,4.9%
35,Hawaii*,266891,128847,33199,62.2%,30.0%,7.7%,42.7%,32.2%,-10.5%,434697,428937,-1.3%
36,Idaho*,189765,409055,91435,27.5%,59.3%,13.2%,-31.9%,-31.8%,0.1%,652274,690255,5.8%
37,Illinois*,3090729,2146015,299680,55.8%,38.8%,5.4%,16.9%,17.1%,0.2%,5242014,5536424,5.6%
38,Indiana*,1033126,1557286,144546,37.8%,56.9%,5.3%,-10.2%,-19.2%,-9.0%,2624534,2734958,4.2%
39,Kansas*,427005,671018,86379,36.1%,56.7%,7.3%,-21.7%,-20.6%,1.1%,1159971,1184402,2.1%
40,Kentucky*,628854,1202971,92324,32.7%,62.5%,4.8%,-22.7%,-29.8%,-7.1%,1797212,1924149,7.1%
41,Louisiana*,780154,1178638,70240,38.4%,58.1%,3.5%,-17.2%,-19.6%,-2.4%,1994065,2029032,1.8%
42,Maryland*,1677928,943169,160349,60.3%,33.9%,5.8%,26.1%,26.4%,0.3%,2707327,2781446,2.7%
43,Massachusetts*,1995196,1090893,238957,60.0%,32.8%,7.2%,23.1%,27.2%,4.1%,3167767,3325046,5.0%
44,Mississippi*,485131,700714,23512,40.1%,57.9%,1.9%,-11.5%,-17.8%,-6.3%,1285584,1209357,-5.9%
45,Missouri*,1071068,1594511,143026,38.1%,56.8%,5.1%,-9.4%,-18.6%,-9.3%,2757323,2808605,1.9%
46,Montana*,177709,279240,40198,35.7%,56.2%,8.1%,-13.7%,-20.4%,-6.8%,484048,497147,2.7%
47,Nebraska*,284494,495961,63772,33.7%,58.7%,7.6%,-21.8%,-25.0%,-3.3%,794379,844227,6.3%
48,New Jersey*,2148278,1601933,123835,55.5%,41.4%,3.2%,17.8%,14.1%,-3.7%,3640292,3874046,6.4%
49,New Mexico*,385234,319666,93418,48.3%,40.0%,11.7%,10.1%,8.2%,-1.9%,783758,798318,1.9%
50,New York*,4556124,2819534,345795,59.0%,36.5%,4.5%,28.2%,22.5%,-5.7%,7072083,7721453,9.2%
51,North Dakota*,93758,216794,33808,27.2%,63.0%,9.8%,-19.6%,-35.7%,-16.1%,322932,344360,6.6%
52,Oklahoma*,420375,949136,83481,28.9%,65.3%,5.7%,-33.5%,-36.4%,-2.8%,1334872,1452992,8.8%
53,Oregon*,1002106,782403,216827,50.1%,39.1%,10.8%,12.1%,11.0%,-1.1%,1789270,2001336,11.9%
54,Rhode Island*,252525,180543,31076,54.4%,38.9%,6.7%,27.5%,15.5%,-11.9%,446049,464144,4.1%
55,South Carolina*,855373,1155389,92265,40.7%,54.9%,4.4%,-10.5%,-14.3%,-3.8%,1964118,2103027,7.1%
56,South Dakota*,117458,227721,24914,31.7%,61.5%,6.7%,-18.0%,-29.8%,-11.8%,363815,370093,1.7%
57,Tennessee*,870695,1522925,114407,34.7%,60.7%,4.6%,-20.4%,-26.0%,-5.6%,2458577,2508027,2.0%
58,Texas*,3877868,4685047,406311,43.2%,52.2%,4.5%,-15.8%,-9.0%,6.8%,7993851,8969226,12.2%
59,Utah*,310676,515231,305523,27.5%,45.5%,27.0%,-48.0%,-18.1%,30.0%,1017440,1131430,11.2%
60,Vermont*,178573,95369,41125,56.7%,30.3%,13.1%,35.6%,26.4%,-9.2%,299290,315067,5.3%
61,Virginia*,1981473,1769443,231836,49.8%,44.4%,5.8%,3.9%,5.3%,1.5%,3854489,3982752,3.3%
62,Washington*,1742718,1221747,401179,51.8%,36.3%,11.9%,14.9%,15.5%,0.6%,3125516,3365644,7.7%
63,West Virginia*,188794,489371,34886,26.5%,68.6%,4.9%,-26.8%,-42.2%,-15.4%,670438,713051,6.4%
64,Wyoming*,55973,174419,25457,21.9%,68.2%,10.0%,-40.8%,-46.3%,-5.5%,249061,255849,2.7%
